"Round 1","Cell type number","Final cell type","X","Y","CD68","PDGFRb","CD56","PanCK","CAV1","Vim","CD90","PDPN","CD45","Ki67","FAP","MUC1","EpCAM","aSMA"
"aSMA+CD90+PDGFRb+PDPN+CAV1+","9","aSMA+CD90+PDGFRb+PDPN+CAV1+","6629","11144","193.1819","911.1844482","77.75832367","253.9692535","1139.581543","155.0333099","212.0469666","904.581543","76.64133453","371.3885498","306.4790649","1063.322754","487.3458557","2065.225342"
"aSMA+CD90+PDGFRb+PDPN+CAV1+","9","aSMA+CD90+PDGFRb+PDPN+CAV1+","6633","11171","150.4891815","931.3833008","79.40577698","265.8043213","1149.101807","180.8396149","213.1964722","873.4931641","64.78749084","360.8492432","269.3167725","1039.589355","431.1154785","2026.297485"
"aSMA+CD90+PDGFRb+PDPN+CAV1+","9","aSMA+CD90+PDGFRb+PDPN+CAV1+","6649","11154","268.0939026","1026.093872","99.78837585","327.9090881","1188.289063","204.8315887","265.8360596","941.0059814","71.23249054","427.1356201","308.6497803","1092.631836","490.4754028","2114.69751"
"aSMA+CD90+PDGFRb+PDPN+CAV1+","9","aSMA+CD90+PDGFRb+PDPN+CAV1+","6662","11171","212.4396057","967.4736938","88.602005","341.2792053","1188.912842","224.5809479","255.38797","927.5012817","92.33483887","403.2957458","302.0847168","1057.839111","458.6486206","2101.450195"
"aSMA+CD90+PDGFRb+PDPN+CAV1+","9","aSMA+CD90+PDGFRb+PDPN+CAV1+","6719","11228","421.1697693","1552.192505","128.6149139","390.1376953","1339.894409","6625.400391","1431.776367","1102.859253","134.908905","1572.446167","883.4534302","1291.654297","617.0227661","7918.292969"
"aSMA+CD90+PDGFRb+PDPN+CAV1+","9","aSMA+CD90+PDGFRb+PDPN+CAV1+","7184","7042","2109.423584","2995.810547","188.71138","366.4211426","1684.147949","21489.30078","2395.58374","998.2536621","66.69187164","434.8601685","991.4764404","1501.760132","488.6650391","19623.53516"
"aSMA+CD90-PDGFRb-PDPN-CAV1+","13","aSMA+CD90-PDGFRb-PDPN-CAV1+","7214","6995","2007.952148","1773.741577","193.3696747","419.1941833","1636.710205","21731.65039","1027.804321","1030.524292","73.51456451","3278.676514","896.385376","1892.879028","590.8349609","13555.19434"
"aSMA+CD90-PDGFRb-PDPN-CAV1-","14","aSMA+CD90-PDGFRb-PDPN-CAV1-","7235","6976","1793.001221","3083.220703","151.0296631","506.6144714","2073.097168","27371.73242","2692.2229","899.8161621","74.36417389","285.1862488","377.6714172","1222.80542","763.6880493","28181.04102"
"aSMA+CD90+PDGFRb-PDPN-CAV1-","12","aSMA+CD90+PDGFRb-PDPN-CAV1-","7242","6937","1063.651733","1568.0271","136.7956238","454.6538086","1418.686157","13094.44922","1687.822754","875.4869385","56.99165726","287.6183472","407.973938","1524.090698","469.1793518","24427.80469"
"aSMA+CD90-PDGFRb-PDPN-CAV1+","13","aSMA+CD90-PDGFRb-PDPN-CAV1+","7243","7008","1077.26123","2350.606689","186.5623627","477.8162231","1511.84729","21532.06836","1323.992676","1012.343201","56.01328278","624.7062988","1266.126953","1013.91217","665.4058838","13227.7373"
"aSMA+CD90-PDGFRb-PDPN-CAV1-","14","aSMA+CD90-PDGFRb-PDPN-CAV1-","7259","6954","944.0211182","1433.154541","133.702774","476.0898132","1242.410889","19134.87109","906.7067261","840.7979126","45.43725204","392.4729309","551.5574341","1019.56012","500.6235046","14638.79492"
"aSMA+CD90+PDGFRb-PDPN-CAV1-","12","aSMA+CD90+PDGFRb-PDPN-CAV1-","7272","6869","822.2610474","1006.50061","118.603096","339.6185913","1185.736572","3275.99292","1327.630493","845.5709229","66.25506592","594.0369263","426.9809265","871.6019287","362.760437","13284.88477"
"aSMA+CD90-PDGFRb-PDPN-CAV1-","14","aSMA+CD90-PDGFRb-PDPN-CAV1-","7271","6918","2233.272705","2488.857422","150.8018951","653.4500732","1949.906494","30241.875","1729.071289","993.4691162","80.20760345","381.690979","684.5356445","1633.464355","774.8621216","16406.43359"
"aSMA+CD90-PDGFRb-PDPN-CAV1-","14","aSMA+CD90-PDGFRb-PDPN-CAV1-","7274","6940","810.1246948","1551.600586","149.5509338","436.5670166","1248.233276","11770.21582","832.5576172","875.276123","42.32037354","360.6863403","464.7748108","931.0723877","416.8498535","8885.191406"
"aSMA+CD90+PDGFRb-PDPN-CAV1+","11","aSMA+CD90+PDGFRb-PDPN-CAV1+","7275","6893","1399.011963","1728.110962","162.4470062","417.7349854","2070.375","17556.10352","1488.323975","968.8980103","69.47399902","329.0450134","481.1719971","1083.05896","423.1220093","15799.96289"
"aSMA+CD90+PDGFRb-PDPN-CAV1-","12","aSMA+CD90+PDGFRb-PDPN-CAV1-","7294","6848","2730.597656","1859.12439","137.3235626","374.2922058","1282.687622","15824.65137","1259.668335","920.2750244","82.50656891","369.7775574","538.3397217","1910.78772","494.9474182","14059.41016"
"aSMA+CD90+PDGFRb-PDPN-CAV1-","12","aSMA+CD90+PDGFRb-PDPN-CAV1-","7293","6889","2853.17749","3230.593262","202.915802","560.0984497","1517.19043","25353.96094","2439.206055","1556.711182","88.14766693","490.7370605","1096.643799","1077.07251","992.3588257","10874.29297"
"PanCK+Vim-MUC1+","3","PanCK+Vim-MUC1+","7291","7012","186.2294312","833.9986572","141.890976","20190.9707","1094.64209","2066.485596","1556.896362","911.098999","44.73043442","661.8140259","998.7732544","1893.892334","3575.443359","11095.40039"
"PanCK+Vim-MUC1+","3","PanCK+Vim-MUC1+","7317","6970","326.9820862","987.2687378","224.073349","30929.66992","1143.723999","719.6170044","4301.361816","991.2648315","86.63214111","4782.86377","2086.129883","7834.637207","4684.011719","9335.795898"
"aSMA+CD90+PDGFRb-PDPN-CAV1-","12","aSMA+CD90+PDGFRb-PDPN-CAV1-","7323","6847","730.4337158","2598.626465","126.481926","397.7971802","1465.23291","13151.59668","1606.646606","912.12854","64.02811432","423.1566162","438.0100403","950.8513794","394.397583","13904.22852"
