,Round.1,Cell type number,Final.cell.type,X,Y,CD68,PDGFRb,CD56,PanCK,CAV1,Vim,CD90,PDPN,CD45,Ki67,MUC1,EpCAM,aSMA,CD3,CD4,CD8,CD31
1,Unknown,0,Unknown,6246.512195,5173.02439,14012.39806,0,35.62135922,304.8640777,0,23929.52427,0.13592233,0,120.6601942,0,0,11.63106796,0,180.7281553,190.184466,124.6699029,0
2,PanCK+Vim-MUC1-,4,PanCK+Vim-MUC1-,6373.70068,5194.247166,369.2513369,0,30.4973262,18565.57071,0,734.2085561,5.29144385,0,1.986631016,0,0,74.07323232,144.9144385,50.96524064,29.29679144,29.39839572,0
3,Unknown,0,Unknown,6079.8,5198.847761,735.9050633,0,35.21518987,59.37025316,0,14118.39873,0,0,63.29746835,0,0,0.075949367,9.300632911,971.9018987,191.3449367,67.70253165,0
4,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,6029.503067,5208.361963,827.2175926,0,61.49537037,91.53240741,0,10179.64815,26.91666667,121.4861111,0,0,0,0.384259259,15098.81481,52.60648148,62.60648148,55.38425926,0
5,aSMA+CD90-PDGFRb-PDPN-CAV1+,13,aSMA+CD90-PDGFRb-PDPN-CAV1+,6292.08,5224.68,340.3269231,0,140.8365385,103.9423077,76.72115385,7924,3.471153846,0,8.163461538,0,0,4.923076923,25377.75962,520.0673077,123.3846154,46.56730769,0
6,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,6333.657143,5226.914286,1478.262136,0,117.9514563,70.51456311,5.72815534,6360.970874,2.747572816,0,0.126213592,0,0,0.330097087,31976.06796,108.1359223,80.0776699,38.77669903,0
7,Unknown,0,Unknown,6097.634783,5231,954.7586207,0,31.83251232,68.84729064,0,9762.773399,0,0,0.344827586,0,0,1.699507389,0.522167488,92.23152709,52.04926108,48.3546798,0
8,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,6335.204301,5234.44086,8649.180556,0,88.76388889,34.0625,0.402777778,17629.19444,0.111111111,0,709.7638889,0,0,0.020833333,6370.763889,1190.243056,729.7916667,70.25694444,0
9,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,6112.911765,5234.5,660.2413793,0,49.38793103,24.25862069,0,21127.36207,5.189655172,0,1.948275862,0,0,0.086206897,102.4396552,46.45689655,48.63793103,58.71551724,0
10,Unknown,0,Unknown,6298.362319,5236.217391,306.807947,0,54.15231788,79.25165563,0,4161.986755,3.920529801,0,848.2119205,0,0,0.278145695,2341.423841,1456.84106,523.7682119,49.95364238,0
11,PanCK+Vim-MUC1-,4,PanCK+Vim-MUC1-,6500.114286,5236.128571,631.3306452,0,24.84677419,6026.927419,0,2195.508065,1.846774194,0,0,0,0,37.25806452,392.3629032,32.03225806,36.76612903,34.85483871,0
12,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,6021.762097,5237.548387,761.1253918,0,75.62382445,46.70846395,0,11715.77743,0.122257053,0,0,0,0,6.137931034,28471.60188,58.73354232,58.78683386,51.63009404,0
13,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,6349.88,5242.36,1481.686957,0,160.5565217,27.72173913,0,15276.13913,1.486956522,0,148.9826087,0,0,0,14169.18261,374.4434783,271.1652174,62.76521739,0
14,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,aSMA+CD90-PDGFRb-PDPN-CAV1-,5859.036036,5245.301802,3643.869091,0,49.96727273,915.84,0,22568.63636,119.7818182,0,894.9163636,0,0,583.0181818,1610.065455,1228.563636,559.68,49.83272727,0.810909091
15,PanCK+Vim+MUC1-,2,PanCK+Vim+MUC1-,5908.009398,5244.404135,1425.513761,0,55.23853211,18418.52941,0,24134.34174,0.103211009,0,0.341743119,0,0,476.2217195,0,52.03669725,43.96100917,53.9793578,0
