"cell_type","cell_type_assignment","Freq"
"PanCK+Vim+MUC1+",1,69
"PanCK+Vim+MUC1-",2,65
"PanCK+Vim-MUC1+",3,955
"PanCK+Vim-MUC1-",4,358
"PanCK-Vim-MUC1-",5,518
"PanCK-Vim+MUC1+",6,12
"PanCK-Vim+MUC1-",7,170
"PanCK-Vim-MUC1+",8,105
"aSMA+CD90+PDGFRb+PDPN+CAV1+",9,807
"aSMA+CD90+PDGFRb-PDPN+CAV1+",10,41
"aSMA+CD90+PDGFRb-PDPN-CAV1+",11,59
"aSMA+CD90+PDGFRb-PDPN-CAV1-",12,255
"aSMA+CD90-PDGFRb-PDPN-CAV1+",13,14
"aSMA+CD90-PDGFRb-PDPN-CAV1-",14,72
"CD90+PDGFRb-PDPN-CAV1-",15,358
"CD90-PDGFRb+PDPN-CAV1-",16,145
"CD90-PDGFRb-PDPN+CAV1-",17,482
"CD90-PDGFRb-PDPN-CAV1+",18,107
