,sample,Cell_A,Cell_A_num,Cell_A_count,Cell_B,Cell_B_num,Cell_B_count ,original_CLQ ,percentile,significant
1,lepidic_58.6,PanCK+Vim+MUC1+,1,15,PanCK+Vim+MUC1+,1,15,242.9428571,1,TRUE
2,lepidic_58.6,PanCK+Vim+MUC1+,1,15,PanCK+Vim+MUC1-,2,2198,30.1744313,1,TRUE
3,lepidic_58.6,PanCK+Vim+MUC1+,1,15,PanCK+Vim-MUC1+,3,9,188.9555556,0.996,TRUE
4,lepidic_58.6,PanCK+Vim+MUC1+,1,15,PanCK+Vim-MUC1-,4,1916,28.40250522,1,TRUE
5,lepidic_58.6,PanCK+Vim+MUC1+,1,15,PanCK-Vim-MUC1-,5,446,11.43901345,0.026,TRUE
6,lepidic_58.6,PanCK+Vim+MUC1+,1,15,PanCK-Vim+MUC1+,6,9,0,0.002,TRUE
7,lepidic_58.6,PanCK+Vim+MUC1+,1,15,PanCK-Vim+MUC1-,7,765,12.59703704,0.02,TRUE
8,lepidic_58.6,PanCK+Vim+MUC1+,1,15,PanCK-Vim-MUC1+,8,12,47.23888889,0.644,FALSE
9,lepidic_58.6,PanCK+Vim+MUC1+,1,15,aSMA+CD90+PDGFRb+PDPN+CAV1+,9,52,10.90128205,0.168,FALSE
10,lepidic_58.6,PanCK+Vim+MUC1+,1,15,aSMA+CD90+PDGFRb-PDPN+CAV1+,10,2,0,0.002,TRUE
11,lepidic_58.6,PanCK+Vim+MUC1+,1,15,aSMA+CD90+PDGFRb-PDPN-CAV1+,11,294,3.856235828,0,TRUE
12,lepidic_58.6,PanCK+Vim+MUC1+,1,15,aSMA+CD90+PDGFRb-PDPN-CAV1-,12,433,5.236643572,0,TRUE
13,lepidic_58.6,PanCK+Vim+MUC1+,1,15,aSMA+CD90-PDGFRb-PDPN-CAV1+,13,283,6.009187279,0.01,TRUE
14,lepidic_58.6,PanCK+Vim+MUC1+,1,15,aSMA+CD90-PDGFRb-PDPN-CAV1-,14,1966,11.53340115,0,TRUE
15,lepidic_58.6,PanCK+Vim+MUC1+,1,15,CD90+PDGFRb-PDPN-CAV1-,15,38,0,0.002,TRUE
